Iteration,Discriminator Loss,Generator Loss
0,1.764733,0.690977
10,0.686989,0.738310
20,0.546726,1.062261
30,0.853382,1.232218
40,1.270519,0.946807
50,1.276492,0.808298
60,1.573246,0.614248
70,1.322023,0.678036
80,1.354469,0.676327
90,1.380608,0.690291
100,1.379928,0.804875
110,1.367185,0.675980
120,1.373174,0.582116
130,1.372603,0.629858
140,1.372012,0.642605
150,1.359250,0.677395
160,1.380355,0.636709
170,1.370294,0.704157
180,1.391475,0.611858
190,1.398720,0.584977
200,1.377455,0.703028
210,1.379094,0.660678
220,1.383373,0.634365
230,1.379251,0.630529
240,1.377627,0.654791
250,1.388673,0.605553
260,1.378952,0.742257
270,1.378498,0.672933
280,1.377395,0.675289
290,1.387097,0.646459
300,1.376817,0.665875
310,1.377784,0.654616
320,1.378742,0.676592
330,1.370217,0.731839
340,1.368887,0.746329
350,1.380430,0.758026
360,1.367562,0.729344
370,1.380465,0.651807
380,1.384296,0.713673
390,1.387193,0.732947
400,1.363000,0.655944
410,1.380256,0.635872
420,1.378786,0.688493
430,1.372702,0.655689
440,1.378233,0.732955
450,1.369315,0.675487
460,1.376425,0.682811
470,1.368271,0.711408
480,1.387218,0.720991
490,1.382130,0.738616
500,1.379717,0.680171
510,1.381531,0.672012
520,1.368220,0.713743
530,1.378091,0.738352
540,1.379021,0.696589
550,1.375799,0.636149
560,1.378766,0.716664
570,1.368105,0.671119
580,1.378828,0.605531
590,1.383310,0.737058
600,1.376186,0.689455
610,1.373917,0.716076
620,1.379922,0.662944
630,1.383507,0.752977
640,1.359195,0.754996
650,1.380201,0.756339
660,1.381228,0.689993
670,1.363154,0.682713
680,1.380136,0.597758
690,1.369175,0.634451
700,1.374349,0.664438
710,1.375353,0.646709
720,1.365514,0.624595
730,1.368380,0.665185
740,1.377225,0.697981
750,1.379978,0.724557
760,1.356122,0.630825
770,1.386580,0.645600
780,1.379999,0.625612
790,1.371055,0.805165
800,1.381675,0.797263
810,1.373404,0.724465
820,1.371420,0.696660
830,1.348324,0.673222
840,1.385736,0.801130
850,1.373041,0.642952
860,1.377900,0.637730
870,1.335243,0.696173
880,1.362690,0.689224
890,1.361767,0.771690
900,1.367606,0.760888
910,1.365047,0.663388
920,1.373255,0.610458
930,1.367335,0.602817
940,1.359102,0.597415
950,1.364994,0.615472
960,1.362795,0.593815
970,1.349912,0.571770
980,1.369375,0.617763
